NumStorePurchases,NumCatalogPurchases_Bin,NumCatalogPurchases,MntWines_Bin,MntWines,MntMeatProducts_Bin,MntMeatProducts,Cluster
0.3076923076923077,0,1.0,0,0.5183673469387755,0,0.9820143884892086,1
0.15384615384615385,3,0.1,3,0.008979591836734694,3,0.01079136690647482,0
0.7692307692307693,3,0.2,2,0.34775510204081633,1,0.22841726618705038,1
0.3076923076923077,3,0.0,3,0.008979591836734694,3,0.03597122302158273,0
0.46153846153846156,1,0.30000000000000004,1,0.14122448979591837,1,0.21223021582733814,1
0.7692307692307693,1,0.4,0,0.4244897959183674,1,0.1762589928057554,1
0.5384615384615385,1,0.30000000000000004,1,0.19183673469387755,2,0.2949640287769784,1
0.3076923076923077,3,0.0,3,0.062040816326530614,1,0.10071942446043167,0
0.15384615384615385,3,0.0,3,0.011428571428571429,3,0.04316546762589928,0
0.0,3,0.0,3,0.022857142857142857,3,0.01079136690647482,0
0.15384615384615385,3,0.0,3,0.004081632653061225,3,0.01079136690647482,0
0.23076923076923078,3,0.0,3,0.004897959183673469,3,0.019784172661870505,0
0.6153846153846154,1,0.4,1,0.15836734693877552,0,0.8633093525179857,1
0.38461538461538464,3,0.1,1,0.19020408163265307,1,0.09532374100719425,1
0.23076923076923078,3,0.0,3,0.0024489795918367346,3,0.030575539568345324,0
0.9230769230769231,2,0.6000000000000001,0,0.8212244897959184,1,0.20683453237410074,1
0.23076923076923078,3,0.0,3,0.04326530612244898,3,0.0341726618705036,0
0.46153846153846156,3,0.1,3,0.06857142857142857,3,0.0683453237410072,0
0.6923076923076923,1,0.4,0,0.8261224489795919,0,0.8956834532374102,1
0.23076923076923078,3,0.1,3,0.0032653061224489797,3,0.0341726618705036,0
0.38461538461538464,3,0.2,3,0.07020408163265307,1,0.131294964028777,0
0.0,0,1.0,3,0.0008163265306122449,0,1.0,1
0.6923076923076923,1,0.30000000000000004,0,0.7077551020408164,1,0.15467625899280577,1
0.6923076923076923,3,0.2,2,0.313469387755102,1,0.18345323741007194,1
0.38461538461538464,3,0.1,1,0.22040816326530613,3,0.048561151079136694,0
0.23076923076923078,3,0.1,3,0.004897959183673469,3,0.04496402877697842,0
0.3076923076923077,3,0.1,1,0.14122448979591837,3,0.053956834532374105,0
0.0,3,0.0,3,0.004081632653061225,3,0.00539568345323741,0
0.3076923076923077,3,0.1,3,0.02938775510204082,3,0.07553956834532374,0
0.7692307692307693,0,0.9,0,0.5583673469387755,0,1.0,1
0.23076923076923078,3,0.0,3,0.006530612244897959,3,0.017985611510791366,0
0.23076923076923078,1,0.5,1,0.09142857142857143,3,0.07913669064748202,1
0.3076923076923077,3,0.1,1,0.08979591836734695,3,0.008992805755395683,0
0.46153846153846156,3,0.1,3,0.0783673469387755,1,0.17266187050359713,0
0.6923076923076923,1,0.5,2,0.39346938775510204,0,0.8471223021582734,1
0.23076923076923078,3,0.0,3,0.0326530612244898,3,0.0341726618705036,0
0.9230769230769231,2,0.6000000000000001,0,0.5730612244897959,2,0.2715827338129497,1
0.15384615384615385,3,0.1,3,0.004897959183673469,3,0.025179856115107917,0
0.23076923076923078,3,0.1,3,0.04489795918367347,3,0.01079136690647482,0
0.38461538461538464,0,1.0,2,0.356734693877551,2,0.3705035971223022,1
0.38461538461538464,2,0.6000000000000001,2,0.3436734693877551,0,0.9640287769784173,1
0.23076923076923078,3,0.0,3,0.010612244897959184,3,0.052158273381294966,0
0.23076923076923078,3,0.0,3,0.007346938775510205,3,0.01079136690647482,0
0.3076923076923077,1,0.30000000000000004,3,0.06612244897959184,3,0.08992805755395684,0
0.23076923076923078,3,0.0,3,0.0024489795918367346,3,0.017985611510791366,0
0.6923076923076923,1,0.4,1,0.10040816326530613,0,0.4784172661870504,1
0.23076923076923078,3,0.1,3,0.0024489795918367346,3,0.025179856115107917,0
0.15384615384615385,3,0.0,3,0.010612244897959184,3,0.026978417266187053,0
0.3076923076923077,3,0.1,3,0.03918367346938775,3,0.08633093525179857,0
0.9230769230769231,3,0.2,0,0.6742857142857143,0,0.5701438848920863,1
0.7692307692307693,3,0.2,1,0.2,1,0.2248201438848921,1
1.0,0,0.9,0,0.5306122448979592,0,1.0,1
0.23076923076923078,3,0.0,3,0.009795918367346938,3,0.03597122302158273,0
0.5384615384615385,0,0.9,0,0.4163265306122449,0,0.9892086330935252,1
0.7692307692307693,3,0.2,2,0.2677551020408163,1,0.22302158273381295,1
1.0,0,1.0,0,0.8032653061224491,0,0.7769784172661871,1
0.7692307692307693,1,0.5,1,0.24081632653061225,0,0.8669064748201439,1
0.3076923076923077,3,0.0,3,0.010612244897959184,3,0.014388489208633094,0
0.23076923076923078,3,0.0,3,0.008979591836734694,3,0.03956834532374101,0
0.46153846153846156,3,0.2,2,0.36489795918367346,3,0.05035971223021583,0
0.8461538461538463,2,0.6000000000000001,0,0.5812244897959183,0,0.9676258992805756,1
0.9230769230769231,3,0.2,2,0.36897959183673473,1,0.18345323741007194,1
0.7692307692307693,3,0.2,0,0.4269387755102041,1,0.24100719424460432,1
0.6153846153846154,1,0.30000000000000004,0,0.44571428571428573,3,0.08633093525179857,1
0.3076923076923077,1,0.4,2,0.3248979591836735,0,0.6600719424460432,1
0.15384615384615385,3,0.1,3,0.0008163265306122449,3,0.01079136690647482,0
0.15384615384615385,3,0.0,3,0.00816326530612245,3,0.0017985611510791368,0
0.7692307692307693,0,1.0,0,0.5616326530612246,0,0.5557553956834532,1
0.7692307692307693,3,0.2,1,0.2016326530612245,2,0.28597122302158273,1
0.38461538461538464,1,0.5,0,0.6987755102040817,0,0.8758992805755396,1
0.46153846153846156,2,0.8,2,0.4048979591836735,0,0.827338129496403,1
0.23076923076923078,3,0.0,3,0.020408163265306124,3,0.07733812949640288,0
1.0,1,0.30000000000000004,1,0.21061224489795918,0,0.5233812949640289,1
0.6153846153846154,3,0.2,0,0.4612244897959184,1,0.1169064748201439,1
0.3076923076923077,3,0.1,3,0.011428571428571429,3,0.023381294964028777,0
0.15384615384615385,3,0.0,3,0.0016326530612244899,3,0.01079136690647482,0
0.38461538461538464,2,0.6000000000000001,0,0.5885714285714286,0,1.0,1
0.6923076923076923,2,0.8,0,0.8424489795918367,0,1.0,1
0.23076923076923078,3,0.0,3,0.0008163265306122449,3,0.008992805755395683,0
